FID,OBJECTID,id,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area
0,1,4398,0,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0, ,22284.463347799999610,20167447.560800001025200
1,2,2571,1,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0, ,18241.697275499998796,9283491.955189999192953
2,3,2669,2,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,17900.674758699999074,16058291.621500000357628
3,4,4392,3,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0, ,23735.098951700001635,19921323.198100000619888
4,5,2641,49,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,19458.111921799998527,4236087.842219999991357
5,6,2643,50,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,18394.739527699999599,7058618.080120000056922
6,7,2666,51,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,63168.961540399999649,6570340.970549999736249
7,8,2665,52,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0, ,14260.830557799999951,4534400.798130000010133
8,9,2675,53,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,9247.484092799999416,2594486.129230000078678
9,10,1961,1804,I,NEWBURY,MA,"NEWBURY,MA",MVPC,0, ,30299.497953900001448,5686829.200830000452697
10,11,2569,4,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0, ,13498.202112400000260,6366971.748139999806881
11,12,2670,5,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,12087.943500800000038,6622156.532150000333786
12,13,2674,6,I,PLYMPTON,MA,"PLYMPTON,MA",OCPC,0, ,24348.826612100001512,30384318.353700000792742
13,14,2542,7,I,EAST BRIDGEWATER,MA,"EAST BRIDGEWATER,MA",OCPC,0, ,21809.602043300001242,8526461.003489999100566
14,15,1807,124,I,BRAINTREE,MA,"BRAINTREE,MA",BRMPO,1,SSC,7255.229988119999689,2669503.894210000056773
15,16,2672,8,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,12646.508235799999966,7306987.327340000309050
16,17,2673,9,I,PLYMPTON,MA,"PLYMPTON,MA",OCPC,0, ,14771.497848599999998,8737142.018050000071526
17,18,2684,10,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,21265.273562900001707,17216053.227200001478195
18,19,4406,11,I,CARVER,MA,"CARVER,MA",SRPEDD,0, ,14113.768353999999817,9249418.541479999199510
19,20,4313,464,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0, ,1500.314396559999977,144088.065162999992026
20,21,4407,12,I,CARVER,MA,"CARVER,MA",SRPEDD,0, ,15590.476720700000442,8500103.119459999725223
21,22,1829,125,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,5038.504404049999721,1374844.017089999979362
22,23,4314,465,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0, ,1437.264659639999991,128963.192754000003333
23,24,4408,13,I,CARVER,MA,"CARVER,MA",SRPEDD,0, ,14705.081360500000301,7112613.065480000339448
24,25,2668,14,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,13069.460098499999731,10115186.025399999693036
25,26,1900,72,I,HANOVER,MA,"HANOVER,MA",OCPC,0, ,3342.842197030000079,609802.956138000008650
26,27,2654,15,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,14832.381619399999181,9365574.292920000851154
27,28,2655,16,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,19281.026620100001310,14333488.910399999469519
28,29,1794,158,I,BRAINTREE,MA,"BRAINTREE,MA",BRMPO,1,SSC,4060.489720030000171,741903.566045999992639
29,30,4324,466,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0, ,1764.894944540000097,179329.780740999995032
30,31,2682,17,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,9514.722278400000505,4935205.922829999588430
31,32,2683,18,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,14881.590002099999765,7145753.285720000043511
32,33,2680,19,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,9276.052945870000258,2647500.770729999989271
33,34,2677,20,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0, ,10758.624913699999524,3197664.988609999883920
34,35,1833,112,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,4403.069272900000215,1164698.318329999921843
35,36,2707,21,I,PLYMOUTH,MA,"PLYMOUTH,MA",OCPC,0, ,9567.968250640000406,4564000.698079999536276
36,37,2649,22,I,HANSON,MA,"HANSON,MA",OCPC,0, ,12010.522518399999171,7536152.604890000075102
37,38,1830,113,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,2869.789780160000191,328987.586794000002556
38,39,4295,566,I,NEW BEDFORD,MA,"NEW BEDFORD,MA",SRPEDD,0, ,1369.781773400000020,111874.072643999999855
39,40,2671,23,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0, ,10076.775473699999566,4926376.774720000103116
40,41,2653,24,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,15346.123179500000333,6626817.779009999707341
41,42,2656,25,I,PEMBROKE,MA,"PEMBROKE,MA",OCPC,0, ,14945.376887200000056,10270307.474999999627471
