OBJECTID,id,taz,taz_type,state,town_state,shape_Leng,type,town,in_mpo,subregion,Shape_Length,Shape_Area
1,4398,0,Internal_Centroid,MA,"MIDDLEBOROUGH,MA",22284.463347799999610,0,MIDDLEBOROUGH,0,,22284.463347771994449,20167447.560813441872597
2,2571,1,Internal_Centroid,MA,"BRIDGEWATER,MA",18241.697275499998796,0,BRIDGEWATER,0,,18241.697275538081158,9283491.955194659531116
3,2669,2,Internal_Centroid,MA,"HALIFAX,MA",17900.674758699999074,0,HALIFAX,0,,17900.674758745491999,16058291.621474886313081
4,4392,3,Internal_Centroid,MA,"MIDDLEBOROUGH,MA",23735.098951700001635,0,MIDDLEBOROUGH,0,,23735.098951723204664,19921323.198079414665699
5,2641,49,Internal_Centroid,MA,"MARSHFIELD,MA",19458.111921799998527,0,MARSHFIELD,1,SSC,19458.111921789633925,4236087.842223132029176
6,2643,50,Internal_Centroid,MA,"MARSHFIELD,MA",18394.739527699999599,0,MARSHFIELD,1,SSC,18394.739527703368367,7058618.080118584446609
7,2666,51,Internal_Centroid,MA,"DUXBURY,MA",63168.961540399999649,0,DUXBURY,0,,63168.961540403077379,6570340.970552757382393
8,2665,52,Internal_Centroid,MA,"DUXBURY,MA",14260.830557799999951,0,DUXBURY,0,,14260.830557789480736,4534400.798125170171261
9,2675,53,Internal_Centroid,MA,"KINGSTON,MA",9247.484092799999416,0,KINGSTON,0,,9247.484092796494224,2594486.129232103936374
10,1961,1804,Internal_Centroid,MA,"NEWBURY,MA",30299.497953900001448,0,NEWBURY,0,,30299.497953860631242,5686829.200831217691302
11,2569,4,Internal_Centroid,MA,"BRIDGEWATER,MA",13498.202112400000260,0,BRIDGEWATER,0,,13498.202112420938647,6366971.748139269649982
12,2670,5,Internal_Centroid,MA,"HALIFAX,MA",12087.943500800000038,0,HALIFAX,0,,12087.943500767883961,6622156.532146004959941
13,2674,6,Internal_Centroid,MA,"PLYMPTON,MA",24348.826612100001512,0,PLYMPTON,0,,24348.826612078821199,30384318.353709839284420
14,2542,7,Internal_Centroid,MA,"EAST BRIDGEWATER,MA",21809.602043300001242,0,EAST BRIDGEWATER,0,,21809.602043277038320,8526461.003491016104817
15,1807,124,Internal_Centroid,MA,"BRAINTREE,MA",7255.229988119999689,0,BRAINTREE,1,SSC,7255.229988123438488,2669503.894205658230931
